"filename", "language", "Properties", "HTML", "JavaScript", "JSON", "Markdown", "Vue", "comment", "blank", "total"
"c:\Users\ltt\Desktop\demo\vue\hover-vue-demo\.editorconfig", "Properties", 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\ltt\Desktop\demo\vue\hover-vue-demo\.postcssrc.js", "JavaScript", 0, 0, 7, 0, 0, 0, 2, 2, 11
"c:\Users\ltt\Desktop\demo\vue\hover-vue-demo\README.md", "Markdown", 0, 0, 0, 0, 14, 0, 0, 8, 22
"c:\Users\ltt\Desktop\demo\vue\hover-vue-demo\build\build.js", "JavaScript", 0, 0, 35, 0, 0, 0, 0, 7, 42
"c:\Users\ltt\Desktop\demo\vue\hover-vue-demo\build\check-versions.js", "JavaScript", 0, 0, 45, 0, 0, 0, 0, 10, 55
"c:\Users\ltt\Desktop\demo\vue\hover-vue-demo\build\utils.js", "JavaScript", 0, 0, 80, 0, 0, 0, 5, 17, 102
"c:\Users\ltt\Desktop\demo\vue\hover-vue-demo\build\vue-loader.conf.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 2, 23
"c:\Users\ltt\Desktop\demo\vue\hover-vue-demo\build\webpack.base.conf.js", "JavaScript", 0, 0, 74, 0, 0, 0, 4, 5, 83
"c:\Users\ltt\Desktop\demo\vue\hover-vue-demo\build\webpack.dev.conf.js", "JavaScript", 0, 0, 82, 0, 0, 0, 7, 7, 96
"c:\Users\ltt\Desktop\demo\vue\hover-vue-demo\build\webpack.prod.conf.js", "JavaScript", 0, 0, 114, 0, 0, 0, 24, 8, 146
"c:\Users\ltt\Desktop\demo\vue\hover-vue-demo\config\dev.env.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 2, 8
"c:\Users\ltt\Desktop\demo\vue\hover-vue-demo\config\index.js", "JavaScript", 0, 0, 29, 0, 0, 0, 25, 16, 70
"c:\Users\ltt\Desktop\demo\vue\hover-vue-demo\config\prod.env.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\ltt\Desktop\demo\vue\hover-vue-demo\index.html", "HTML", 0, 12, 0, 0, 0, 0, 1, 2, 15
"c:\Users\ltt\Desktop\demo\vue\hover-vue-demo\package-lock.json", "JSON", 0, 0, 0, 11759, 0, 0, 0, 1, 11760
"c:\Users\ltt\Desktop\demo\vue\hover-vue-demo\package.json", "JSON", 0, 0, 0, 63, 0, 0, 0, 1, 64
"c:\Users\ltt\Desktop\demo\vue\hover-vue-demo\src\App.vue", "Vue", 0, 0, 0, 0, 0, 35, 0, 6, 41
"c:\Users\ltt\Desktop\demo\vue\hover-vue-demo\src\components\animal.vue", "Vue", 0, 0, 0, 0, 0, 50, 0, 3, 53
"c:\Users\ltt\Desktop\demo\vue\hover-vue-demo\src\components\mixins.vue", "Vue", 0, 0, 0, 0, 0, 45, 0, 3, 48
"c:\Users\ltt\Desktop\demo\vue\hover-vue-demo\src\components\mixins2.vue", "Vue", 0, 0, 0, 0, 0, 11, 0, 3, 14
"c:\Users\ltt\Desktop\demo\vue\hover-vue-demo\src\components\namerouter\routera.vue", "Vue", 0, 0, 0, 0, 0, 13, 0, 4, 17
"c:\Users\ltt\Desktop\demo\vue\hover-vue-demo\src\components\namerouter\routerb.vue", "Vue", 0, 0, 0, 0, 0, 10, 0, 5, 15
"c:\Users\ltt\Desktop\demo\vue\hover-vue-demo\src\components\tab.vue", "Vue", 0, 0, 0, 0, 0, 23, 1, 5, 29
"c:\Users\ltt\Desktop\demo\vue\hover-vue-demo\src\components\tabs\a.vue", "Vue", 0, 0, 0, 0, 0, 11, 0, 4, 15
"c:\Users\ltt\Desktop\demo\vue\hover-vue-demo\src\components\tabs\b.vue", "Vue", 0, 0, 0, 0, 0, 11, 0, 4, 15
"c:\Users\ltt\Desktop\demo\vue\hover-vue-demo\src\components\tabs\c.vue", "Vue", 0, 0, 0, 0, 0, 11, 0, 4, 15
"c:\Users\ltt\Desktop\demo\vue\hover-vue-demo\src\main.js", "JavaScript", 0, 0, 10, 0, 0, 0, 3, 3, 16
"c:\Users\ltt\Desktop\demo\vue\hover-vue-demo\src\mixin\mixin.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 7
"c:\Users\ltt\Desktop\demo\vue\hover-vue-demo\src\router\index.js", "JavaScript", 0, 0, 66, 0, 0, 0, 0, 3, 69
"Total", "-", 8, 12, 580, 11822, 14, 220, 72, 138, 12866
